ID
1,518,518,379,379,550,550,651,651
2,645,645,721,721
3,215,215,344,344,706,706,231,231
4,485,485,533,533,587,587
5,295,295,178,178,694,694,232,232
6,619,619,697,697,298,298,545,545
7,477,477,374,374,375,375,275,275
8,516,516,511,511,603,603
9,315,315,318,318,161,161,356,356
10,495,495,631,631,557,557
11,341,341,638,638,270,270,540,540
12,300,300,457,457,366,366
13,623,623,361,361,672,672,335,335
14,566,566,266,266,579,579,281,281
15,453,453,481,481,183,183,278,278
16,600,600,342,342,663,663
17,688,688,217,217,499,499
18,722,722,223,223,389,389
19,445,445,482,482,500,500
20,303,303,414,414,636,636,569,569
21,352,352,185,185,287,287,169,169
22,203,203,528,528,415,415,324,324
23,490,490,328,328,551,551,612,612
24,605,605,720,720,543,543,555,555
25,247,247,564,564,167,167,686,686
26,359,359,240,240,716,716
27,176,176,165,165,180,180
28,683,683,327,327,632,632
29,272,272,323,323,337,337
30,400,400,321,321
31,637,637,207,207,531,531,181,181
32,269,269,186,186,615,615,330,330
33,549,549,704,704,634,634,723,723
34,535,535,602,602,262,262,647,647
35,491,491,526,526,293,293,639,639
36,466,466,332,332,405,405,355,355
37,230,230,575,575,642,642,309,309
38,320,320,338,338,628,628,316,316
39,252,252,565,565,610,610,630,630
40,648,648,670,670,254,254,624,624
41,525,525,384,384,261,261,239,239
42,690,690,258,258,643,643,393,393
43,177,177,171,171,172,172,714,714
44,512,512,308,308,597,597
45,246,246,189,189,225,225
46,365,365,572,572,576,576
47,534,534,209,209
48,451,451,462,462,424,424
49,290,290,259,259,267,267
50,202,202,596,596,201,201,195,195
51,617,617,242,242,604,604,417,417
52,164,164,559,559,504,504,711,711
53,480,480,666,666
54,476,476,449,449,322,322
55,245,245,627,627,585,585,173,173
56,292,292,492,492,702,702,563,563
57,224,224,192,192,396,396,629,629
58,479,479,465,465,421,421,460,460
59,438,438,311,311,467,467
60,494,494,211,211,708,708,369,369
61,362,362,329,329,568,568,560,560
62,206,206,333,333,218,218
63,276,276,522,522,244,244
64,213,213,440,440,310,310,353,353
65,228,228,705,705,286,286,537,537
66,193,193,556,556,505,505,501,501
67,724,724,498,498,591,591,429,429
68,599,599,191,191,297,297,667,667
69,301,301,371,371
70,703,703,679,679,542,542,407,407
71,444,444,461,461
72,430,430,470,470,420,420,422,422
73,235,235,473,473
74,641,641,658,658,656,656,515,515
75,166,166,433,433,441,441,423,423
76,401,401,326,326,486,486
77,304,304,404,404,554,554
78,159,159,489,489,394,394,532,532
79,687,687,567,567
80,237,237,548,548,573,573
81,184,184,435,435,448,448
82,392,392,403,403,459,459
83,377,377,349,349,669,669,179,179
84,546,546,343,343,271,271,503,503
85,580,580,523,523,547,547,718,718
86,509,509,378,378,175,175,277,277
87,685,685,510,510,208,208,354,354
88,693,693,541,541,334,334,594,594
89,625,625,608,608,397,397,577,577
90,468,468,454,454,325,325
91,620,620,350,350,387,387,313,313
92,198,198,661,661,282,282
93,520,520,182,182,589,589,307,307
94,574,574,291,291,234,234,187,187
95,558,558,699,699,570,570,584,584
96,243,243,386,386,426,426,439,439
97,402,402,673,673,220,220
98,660,660,390,390,626,626,274,274
99,434,434,348,348,428,428,469,469
100,238,238,302,302,279,279,675,675
101,582,582,681,681,357,357,715,715
102,650,650,162,162,719,719,196,196
103,299,299,496,496,652,652,698,698
104,160,160,408,408,221,221,497,497
105,514,514,529,529,616,616,607,607
106,657,657,508,508,331,331,227,227
107,593,593,633,633,305,305,273,273
108,257,257,364,364,216,216,664,664
109,370,370,372,372,419,419,385,385
110,536,536,256,256,621,621
111,655,655,524,524,530,530,199,199
112,411,411,487,487,314,314
113,368,368,475,475,483,483,488,488
114,507,507,210,210,260,260,562,562
115,653,653,409,409,398,398,205,205
116,707,707,527,527,383,383,363,363
117,319,319,463,463,346,346
118,437,437,163,163,388,388,678,678
119,280,280,717,717,635,635
120,517,517,513,513,519,519,194,194
121,296,296,456,456,455,455,222,222
122,289,289,268,268,552,552,539,539
123,452,452,306,306,458,458
124,442,442,464,464
125,586,586,241,241,696,696,174,174
126,684,684,250,250,701,701,249,249
127,229,229,700,700,695,695,646,646
128,676,676,351,351,649,649,248,248
129,376,376,382,382,710,710
130,544,544,380,380,347,347,614,614
131,450,450,431,431,447,447,478,478
132,595,595,197,197,471,471
133,188,188,336,336,418,418
134,391,391,472,472,474,474,446,446
135,214,214,689,689,317,317
136,659,659,606,606,588,588
137,553,553,212,212,410,410,253,253
138,226,226,399,399,236,236
139,611,611,571,571,590,590,283,283
140,680,680,609,609,692,692,682,682
141,233,233,578,578
142,502,502,521,521,412,412,622,622
143,583,583,671,671,712,712,263,263
144,592,592,285,285,373,373
145,339,339,538,538,640,640,598,598
146,677,677,358,358,406,406,265,265
147,674,674,668,668,613,613,294,294
148,413,413,416,416,255,255,618,618
149,561,561,288,288,312,312
150,251,251,395,395,190,190
151,654,654,665,665,713,713,200,200
152,443,443,427,427,436,436,484,484
153,381,381,506,506,644,644,367,367
154,345,345,170,170
155,581,581,204,204,264,264
156,662,662,709,709,493,493,601,601
157,284,284,360,360,219,219,691,691
158,340,340,432,432,425,425,168,168
