ID
1,1129,1129
2,741,741,1258,1258
3,1031,1031
4,912,912,1352,1352
5,787,787,1184,1184
6,1118,1118
7,1144,1144
8,728,728
9,1543,1543,1558,1558
10,809,809
11,1435,1435,1396,1396
12,853,853
13,676,676,803,803
14,1271,1271
15,1019,1019,1111,1111
16,1411,1411,1259,1259
17,1389,1389
18,1167,1167
19,889,889
20,1073,1073
21,1188,1188
22,703,703
23,1302,1302
24,1114,1114
25,1313,1313
26,1149,1149
27,1497,1497,1532,1532
28,957,957,681,681
29
30,1550,1550
31,1294,1294
32,1079,1079
33,689,689
34,1440,1440
35,1221,1221,1327,1327
36,967,967,1104,1104
37,1224,1224
38,930,930
39,1372,1372
40,818,818,1580,1580
41,1379,1379,1092,1092
42,790,790,1504,1504,1170,1170
43,1539,1539,1464,1464
44,1380,1380,960,960
45,959,959
46,724,724,1205,1205
47,945,945,1226,1226
48,1000,1000,1325,1325
49,725,725
50,1483,1483,811,811
51,731,731
52,1358,1358
53,1331,1331,1201,1201
54,1404,1404,1237,1237
55,1130,1130,783,783,1077,1077
56,1581,1581
57,698,698,1505,1505
58,989,989
59,856,856
60,883,883
61,840,840
62
63,1387,1387
64,1342,1342,1159,1159
65,1219,1219,1199,1199
66
67,1369,1369,1466,1466
68,793,793,1121,1121
69,1198,1198
70,1311,1311
71,1305,1305
72,781,781
73,861,861,765,765
74,1033,1033
75,867,867
76,886,886
77,1549,1549
78,1301,1301,935,935
79,804,804
80,700,700
81,1492,1492
82,1038,1038,1206,1206
83,1260,1260
84,1419,1419,920,920
85,1204,1204,1080,1080
86,1161,1161,1087,1087
87,766,766
88
89,822,822,687,687
90,1270,1270,750,750
91,1011,1011,694,694,1512,1512,1503,1503
92,1462,1462
93,979,979,993,993
94,859,859,1445,1445
95,852,852
96,1112,1112,1287,1287
97,944,944
98,1371,1371
99,1071,1071
100,1562,1562
101,680,680
102,899,899
103,1078,1078
104,810,810,1012,1012
105,1090,1090
106,1028,1028
107,1443,1443
108,1274,1274
109,1318,1318
110,773,773
111,998,998
112,1110,1110
113,1320,1320
114,1441,1441
115,963,963,770,770
116,1458,1458
117,1569,1569
118,1429,1429
119,740,740
120
